StdLng@Record_ID,Underresourced,NumberofEntries,Priority1Sources,NotStandardNote,Count@ReleaseData,masterlanguagelist,glottolog@id,ISO639,StandardLanguageName,PnyStatsLanguages::Pny8inc,Count@Concepticon,Family,Langs_Subgroups::SubgroupName,EtymologyofName,StdHomophones,Homophoneinc,Latitude,Longitude,Ascii_Name,Subgroup_ID,NumberofVarieties,note about inclusion,DateModified,LastModifiedBy,AIATSIS_Code,INC@MCTowner,Sources::ChirilaRelease,RoundedLat,RoundedLong
671,,7524,7525,,0,yes,maun1240,mph,Mawng,O,,Iwaidjan,,,,,-12.06446118083343,133.0606709799841,Mawng,,2,,2021-01-28 17:18:08,bowern,N64,,Phase 3?,-12.06,133.06
672,to get from Dorothea Hoffman,2,1,,,yes,madn1237,zml,Matngele,,2,Eastern Daly,,,,,-13.77,130.42,Matngele,,2,,2021-01-28 17:18:08,bowern,N12,,,-13.77,130.42
674,,1008,845,,2,yes,west2443,dmd,Mathi-Mathi,y,388,Pama-Nyungan,Kulin,0,,,-34.13829931743091,143.669439739476,MathiMathi,16,5,,2021-01-28 17:18:08,bowern,D8,,,-34.14,143.67
680,import dictionary,1763,1503,,0,yes,mart1255,vma,Martuthunira,x,178,Pama-Nyungan,Ngayarta,,,,-21.9140827290935,115.8212481083883,Martuthunira,24,2,,2021-01-28 17:18:08,bowern,W35,,Phase 3,-21.91,115.82
683,,,,,,yes,mari1424,mfr,Marrithiyel,,,Western Daly,,,,,-13.83887456943888,130.0009395714993,Marrithiyel,,2,,2021-01-28 17:18:08,bowern,N7,,,-13.84,130
689,check,2,,,,yes,marg1251,mhg,Marrgu,,2,Iwaidjan,,,,,-11.3,132.4,Marrgu,,3,,2021-01-28 17:18:08,bowern,N45,,,-11.3,132.4
703,,1018,833,,2,yes,marg1253,zmc,Margany,y,760,Pama-Nyungan,Maric,,,,-27.21067032917215,144.719115391163,Margany,20,4,,2021-01-28 17:18:08,bowern,D42,,Phase1,-27.21,144.72
709,,1408,1113,,1,yes,mara1385,mec,Marra,17,133,Arnhem,East Arnhem,,,,-14.90794876498208,135.12240233885,Marra,64,3,,2021-01-28 17:18:08,bowern,N112,,Phase1,-14.91,135.12
714,Erich,368,211,,,yes,mart1256,mpj,Manjiljarra,x,225,Pama-Nyungan,Wati,go-having,,,-21.25170535308533,126.4793141542042,Manjiljarra,38,3,,2021-01-28 17:18:08,bowern,A51.1,,,-21.25,126.48
719,check,314,239,,0,yes,mang1381,mpc,Mangarrayi,17,35,Arnhem,Mangarrayi,,,,-14.34354907491235,133.3128743467753,Mangarrayi,66,2,,2021-01-28 17:18:08,bowern,N78,,,-14.34,133.31
720,,6515,2690,,0,yes,mang1383,mem,Mangala,,3586,Pama-Nyungan,Marrngu,,,,-19.492,123.84,Mangala,21,5,Use Mangala McK,2021-01-28 17:18:08,bowern,A65,Y,Phase 3,-19.49,123.84
731,,975,413,,5,yes,yarl1236,yga,Malyangapa,y,799,Pama-Nyungan,Yardli,0,,,-30.57457619623625,140.7023202257508,Malyangapa,41,5,,2021-01-28 17:18:08,bowern,L8,,,-30.57,140.7
732,,313,147,,,yes,maln1239,gue,Malngin,y,143,Pama-Nyungan,Ngumpin-Yapa,,,,-17.11564729835642,129.2243998183673,Malngin,25,1,,2021-01-28 17:18:08,bowern,K30,,,-17.12,129.22
733,,1345,681,,2,yes,malg1242,vml,Malkana,y,741,Pama-Nyungan,Kartu,,,,-26.22172997008329,113.7508571887554,Malgana,15,3,,2021-01-28 17:18:08,bowern,W18,,Phase1,-26.22,113.75
738,dorothea Hoffmann,1,1,,,yes,--,mpb,Malak Malak,,1,Daly,Daly,,,,-13.75351586959185,130.7147028120241,MalakMalak,52,2,,2021-06-03 14:45:11,bowern,N22,,,-13.75,130.71
750,,151,2,,,yes,lowe1436,axl,Lower Southern Aranda,Sp,112,Pama-Nyungan,Arandic,English,,,-25.6332593127815,135.4326845697825,LowerSouthernAranda,1,2,,2021-01-28 17:18:08,bowern,C29*,,,-25.63,135.43
754,,1060,1062,e,,yes,leni1238,lnj,Linngithigh,y,569,Pama-Nyungan,Paman,,,,-12.99121803657412,141.7166806785977,Linngithigh,30,4,,2021-01-28 17:18:08,bowern,Y26,,,-12.99,141.72
755,,873,873,,0,yes,limi1242,lmc,Limilngan,17,,Darwin Region,Limilngan,,,,-12.47762877267669,131.8581746547521,Limilngan,67,1,,2021-01-28 17:18:08,bowern,N42,,Phase 3,-12.48,131.86
759,check,124,0,,1,yes,lara1258,lrg,Larrakiya,,111,Darwin Region,,,,,-12.70664483509736,130.7862123021449,Larrakiya,,4,,2021-06-03 14:45:52,bowern,N21,,Phase1,-12.71,130.79
760,,2488,2452,,0,yes,lard1243,lbz,Lardil,O,39,Tangkic,,group name,,,-16.53360036605464,139.4069131044435,Lardil,,1,,2021-01-28 17:18:08,bowern,G38,,,-16.53,139.41
762,check,405,23,e,,yes,lamu1254,lby,Lamalama,,134,Pama-Nyungan,Paman,Redup (unanalyzable),,,-14.62330833217883,143.8556152468949,Lamalama,30,7,,2021-01-28 17:18:08,bowern,Y136,,,-14.62,143.86
766,,199,205,,1,yes,ladj1234,llj,Ladji-Ladji,,46,Pama-Nyungan,Kulin,no-redup,,,-34.66,142.25,LadjiLadji,16,3,,2021-06-03 15:00:33,bowern,S23,,Phase 2,-34.66,142.25
